ID;Source;Target;Weight;Type;Label
678;65;87;5;Undirected;5
679;32;53;5;Undirected;5
680;3;67;5;Undirected;5
681;83;93;5;Undirected;5
682;32;93;5;Undirected;5
683;62;110;5;Undirected;5
684;52;61;5;Undirected;5
685;53;67;5;Undirected;5
686;7;88;5;Undirected;5
687;61;85;5;Undirected;5
688;7;60;5;Undirected;5
689;44;95;5;Undirected;5
690;25;74;5;Undirected;5
691;60;84;5;Undirected;5
692;27;109;5;Undirected;5
693;59;64;5;Undirected;5
694;72;85;5;Undirected;5
695;34;86;5;Undirected;5
696;65;109;5;Undirected;5
697;71;103;5;Undirected;5
698;79;94;5;Undirected;5
699;57;82;5;Undirected;5
700;52;110;5;Undirected;5
701;43;44;5;Undirected;5
702;59;83;5;Undirected;5
703;57;80;5;Undirected;5
704;72;110;5;Undirected;5
705;46;55;5;Undirected;5
706;88;94;5;Undirected;5
707;48;71;5;Undirected;5
708;49;95;5;Undirected;5
709;32;52;5;Undirected;5
710;4;102;5;Undirected;5
711;21;67;5;Undirected;5
712;78;93;5;Undirected;5
713;77;86;5;Undirected;5
714;72;96;5;Undirected;5
715;86;95;5;Undirected;5
716;25;95;5;Undirected;5
717;31;95;5;Undirected;5
718;34;95;5;Undirected;5
719;44;93;5;Undirected;5
720;87;107;5;Undirected;5
721;57;109;5;Undirected;5
722;59;108;4;Undirected;4
723;47;82;4;Undirected;4
724;49;101;4;Undirected;4
725;48;102;4;Undirected;4
726;56;72;4;Undirected;4
727;75;93;4;Undirected;4
728;4;82;4;Undirected;4
729;25;110;4;Undirected;4
730;34;88;4;Undirected;4
731;17;74;4;Undirected;4
732;63;97;4;Undirected;4
733;45;109;4;Undirected;4
734;3;55;4;Undirected;4
735;64;99;4;Undirected;4
736;62;82;4;Undirected;4
737;54;110;4;Undirected;4
738;42;82;4;Undirected;4
739;47;77;4;Undirected;4
740;66;97;4;Undirected;4
741;75;107;4;Undirected;4
742;31;41;4;Undirected;4
743;32;67;4;Undirected;4
744;18;85;4;Undirected;4
745;61;107;4;Undirected;4
746;7;78;4;Undirected;4
747;41;80;4;Undirected;4
748;35;109;4;Undirected;4
749;48;70;4;Undirected;4
750;42;44;4;Undirected;4
751;35;67;4;Undirected;4
752;7;93;4;Undirected;4
753;32;107;4;Undirected;4
754;1;25;4;Undirected;4
755;1;88;4;Undirected;4
756;99;110;4;Undirected;4
757;64;79;4;Undirected;4
758;46;47;4;Undirected;4
759;49;59;4;Undirected;4
760;42;93;4;Undirected;4
761;67;93;4;Undirected;4
762;52;60;4;Undirected;4
763;54;87;4;Undirected;4
764;20;84;4;Undirected;4
765;38;72;4;Undirected;4
766;36;67;4;Undirected;4
767;1;60;4;Undirected;4
768;20;66;4;Undirected;4
769;53;83;4;Undirected;4
770;57;107;4;Undirected;4
771;85;88;4;Undirected;4
772;38;74;4;Undirected;4
773;83;88;4;Undirected;4
774;47;93;4;Undirected;4
775;7;43;4;Undirected;4
776;64;70;4;Undirected;4
777;21;80;4;Undirected;4
778;50;93;4;Undirected;4
779;43;70;4;Undirected;4
780;41;42;4;Undirected;4
781;44;47;4;Undirected;4
782;79;93;4;Undirected;4
783;61;82;4;Undirected;4
784;67;70;4;Undirected;4
785;37;82;4;Undirected;4
786;77;110;4;Undirected;4
787;57;64;4;Undirected;4
788;42;57;4;Undirected;4
789;43;46;4;Undirected;4
790;97;107;4;Undirected;4
791;60;85;4;Undirected;4
792;4;54;4;Undirected;4
793;76;80;4;Undirected;4
794;63;108;4;Undirected;4
795;42;49;4;Undirected;4
796;29;109;4;Undirected;4
797;43;64;4;Undirected;4
798;90;109;4;Undirected;4
799;41;86;4;Undirected;4
800;45;88;4;Undirected;4
801;32;46;4;Undirected;4
802;48;63;4;Undirected;4
803;48;83;4;Undirected;4
804;68;88;4;Undirected;4
805;31;34;4;Undirected;4
806;10;66;4;Undirected;4
807;7;77;4;Undirected;4
808;47;80;4;Undirected;4
809;52;99;4;Undirected;4
810;60;78;4;Undirected;4
811;61;80;4;Undirected;4
812;68;70;4;Undirected;4
813;72;102;4;Undirected;4
814;41;44;4;Undirected;4
815;38;107;4;Undirected;4
816;42;55;4;Undirected;4
817;46;104;4;Undirected;4
818;43;60;3;Undirected;3
819;25;63;3;Undirected;3
820;44;46;3;Undirected;3
821;35;82;3;Undirected;3
822;42;108;3;Undirected;3
823;45;55;3;Undirected;3
824;57;108;3;Undirected;3
825;104;106;3;Undirected;3
826;21;38;3;Undirected;3
827;25;31;3;Undirected;3
828;31;47;3;Undirected;3
829;3;82;3;Undirected;3
830;61;94;3;Undirected;3
831;49;53;3;Undirected;3
832;23;109;3;Undirected;3
833;76;107;3;Undirected;3
834;47;53;3;Undirected;3
835;62;87;3;Undirected;3
836;7;18;3;Undirected;3
837;29;82;3;Undirected;3
838;100;101;3;Undirected;3
839;52;53;3;Undirected;3
840;86;108;3;Undirected;3
841;90;110;3;Undirected;3
842;2;54;3;Undirected;3
843;38;90;3;Undirected;3
844;53;64;3;Undirected;3
845;49;78;3;Undirected;3
846;21;102;3;Undirected;3
847;48;59;3;Undirected;3
848;1;107;3;Undirected;3
849;105;109;3;Undirected;3
850;53;57;3;Undirected;3
851;66;92;3;Undirected;3
852;39;72;3;Undirected;3
853;54;70;3;Undirected;3
854;42;67;3;Undirected;3
855;25;77;3;Undirected;3
856;87;102;3;Undirected;3
857;76;109;3;Undirected;3
858;50;55;3;Undirected;3
859;32;86;3;Undirected;3
860;41;78;3;Undirected;3
861;31;72;3;Undirected;3
862;53;68;3;Undirected;3
863;79;80;3;Undirected;3
864;57;97;3;Undirected;3
865;35;44;3;Undirected;3
866;68;78;3;Undirected;3
867;56;80;3;Undirected;3
868;31;80;3;Undirected;3
869;77;83;3;Undirected;3
870;48;69;3;Undirected;3
871;47;79;3;Undirected;3
872;78;98;3;Undirected;3
873;35;69;3;Undirected;3
874;52;79;3;Undirected;3
875;52;75;3;Undirected;3
876;48;90;3;Undirected;3
877;50;88;3;Undirected;3
878;7;67;3;Undirected;3
879;82;83;3;Undirected;3
880;61;95;3;Undirected;3
881;63;66;3;Undirected;3
882;45;82;3;Undirected;3
883;42;77;3;Undirected;3
884;102;109;3;Undirected;3
885;25;34;3;Undirected;3
886;35;64;3;Undirected;3
887;46;85;3;Undirected;3
888;62;71;3;Undirected;3
889;63;68;3;Undirected;3
890;68;80;3;Undirected;3
891;3;72;3;Undirected;3
892;3;109;3;Undirected;3
893;3;48;3;Undirected;3
894;39;42;3;Undirected;3
895;49;85;3;Undirected;3
896;27;64;3;Undirected;3
897;79;86;3;Undirected;3
898;71;80;3;Undirected;3
899;70;72;3;Undirected;3
900;74;108;3;Undirected;3
901;10;47;3;Undirected;3
902;62;74;3;Undirected;3
903;57;95;3;Undirected;3
904;35;52;3;Undirected;3
905;82;84;3;Undirected;3
906;47;72;3;Undirected;3
907;79;108;3;Undirected;3
908;31;97;3;Undirected;3
909;4;60;3;Undirected;3
910;78;79;3;Undirected;3
911;4;101;3;Undirected;3
912;3;52;3;Undirected;3
913;21;84;3;Undirected;3
914;37;88;3;Undirected;3
915;34;110;3;Undirected;3
916;47;95;3;Undirected;3
917;6;50;3;Undirected;3
918;34;77;3;Undirected;3
919;55;104;3;Undirected;3
920;25;47;3;Undirected;3
921;66;70;3;Undirected;3
922;72;92;3;Undirected;3
923;95;110;3;Undirected;3
924;72;101;3;Undirected;3
925;20;61;3;Undirected;3
926;63;82;3;Undirected;3
927;59;102;3;Undirected;3
928;20;48;3;Undirected;3
