ID;Source;Target;Weight;Type;Label
821;41;89;2;Undirected;2
822;66;68;2;Undirected;2
823;9;88;2;Undirected;2
824;12;65;2;Undirected;2
825;60;120;2;Undirected;2
826;23;78;2;Undirected;2
827;77;122;2;Undirected;2
828;94;119;2;Undirected;2
829;70;89;2;Undirected;2
830;60;64;2;Undirected;2
831;12;88;2;Undirected;2
832;66;67;2;Undirected;2
833;65;110;2;Undirected;2
834;16;81;2;Undirected;2
835;82;114;2;Undirected;2
836;41;44;2;Undirected;2
837;85;93;2;Undirected;2
838;64;69;2;Undirected;2
839;41;99;2;Undirected;2
840;23;68;2;Undirected;2
841;83;116;2;Undirected;2
842;38;84;2;Undirected;2
843;46;116;2;Undirected;2
844;25;27;2;Undirected;2
845;46;88;2;Undirected;2
846;58;69;2;Undirected;2
847;11;94;2;Undirected;2
848;26;68;2;Undirected;2
849;13;116;2;Undirected;2
850;41;84;2;Undirected;2
851;42;121;2;Undirected;2
852;12;29;2;Undirected;2
853;72;88;2;Undirected;2
854;74;87;2;Undirected;2
855;2;94;2;Undirected;2
856;5;28;2;Undirected;2
857;8;124;2;Undirected;2
858;40;89;2;Undirected;2
859;70;92;2;Undirected;2
860;27;51;2;Undirected;2
861;69;111;2;Undirected;2
862;51;89;2;Undirected;2
863;69;94;2;Undirected;2
864;18;44;2;Undirected;2
865;21;123;2;Undirected;2
866;69;91;2;Undirected;2
867;89;94;2;Undirected;2
868;28;60;2;Undirected;2
869;101;111;2;Undirected;2
870;60;91;2;Undirected;2
871;67;113;2;Undirected;2
872;27;44;2;Undirected;2
873;62;78;2;Undirected;2
874;64;67;2;Undirected;2
875;2;98;2;Undirected;2
876;51;60;2;Undirected;2
877;62;106;2;Undirected;2
878;45;94;2;Undirected;2
879;77;111;2;Undirected;2
880;26;50;2;Undirected;2
881;42;82;2;Undirected;2
882;54;68;2;Undirected;2
883;45;89;2;Undirected;2
884;54;60;2;Undirected;2
885;58;94;2;Undirected;2
886;89;98;2;Undirected;2
887;63;108;2;Undirected;2
888;19;63;2;Undirected;2
889;50;89;2;Undirected;2
890;58;65;2;Undirected;2
891;78;84;2;Undirected;2
892;42;56;2;Undirected;2
893;69;113;2;Undirected;2
894;46;95;2;Undirected;2
895;42;111;2;Undirected;2
896;50;58;2;Undirected;2
897;56;89;2;Undirected;2
898;6;67;2;Undirected;2
899;50;81;2;Undirected;2
900;63;64;2;Undirected;2
901;89;116;2;Undirected;2
902;26;99;2;Undirected;2
903;25;40;2;Undirected;2
904;40;78;2;Undirected;2
905;85;89;2;Undirected;2
906;38;67;2;Undirected;2
907;25;76;2;Undirected;2
908;18;65;2;Undirected;2
909;115;116;2;Undirected;2
910;46;99;2;Undirected;2
911;41;49;2;Undirected;2
